chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,rms,tempogram,class
0.29146832,1694.701184,1480.282252,3117.71581,-15.011121,0.095569458,0.049104415,0.166773521,0
0.28922644,1514.891405,1488.361165,2847.716689,-16.737673,0.072941831,0.045934748,0.150945303,0
0.28283846,1331.389188,1372.328265,2433.003339,-15.561699,0.071223049,0.046652526,0.150343503,0
0.32895675,1435.700889,1463.307288,2668.100105,-17.001015,0.08052573,0.040301368,0.159580015,0
0.26768082,1868.199427,1816.068782,3520.400302,-17.27969,0.103269807,0.04816769,0.179006314,0
0.3176326,1359.999967,1356.143039,2631.755487,-13.438862,0.072213498,0.04169212,0.197609692,0
0.260421,1918.110608,1847.641909,3643.885547,-19.368874,0.098156064,0.044933826,0.147389845,0
0.2796437,1493.77851,1573.278607,2919.883953,-17.715178,0.077853209,0.027732218,0.140224145,0
0.336846,1556.7905,1424.737957,2886.819997,-12.863842,0.083396707,0.045083385,0.135432728,0
0.29451275,1619.056022,1781.295632,2559.168527,-15.254578,0.088977091,0.046456773,0.175020837,0
0.26670256,1289.207434,1367.412108,2278.402536,-15.6318035,0.065310112,0.04240622,0.155373547,0
0.30235475,1437.450284,1492.915269,2871.884029,-16.027897,0.075118748,0.043922424,0.150065433,0
0.3065458,1351.13973,1469.961773,2371.306782,-16.141132,0.074206749,0.041551247,0.134872456,0
0.36223492,1718.169772,1471.316504,3109.008492,-11.368814,0.103996357,0.04016054,0.165938805,0
0.3038807,1372.641106,1369.622561,2563.185504,-17.44398,0.078000603,0.04439692,0.163938854,0
0.30187228,1361.765277,1512.719388,2666.127889,-15.310834,0.066310682,0.040380314,0.154485936,0
0.26285177,1174.806495,1261.73449,2077.984406,-13.517578,0.064574655,0.03785787,0.137492149,0
0.31294698,1670.903875,1702.532116,2996.65606,-14.88706,0.093504446,0.04352491,0.168352978,0
0.26827428,1291.413012,1375.999197,2244.845395,-19.751398,0.069696169,0.044431604,0.147706166,0
0.31002533,1721.965023,1597.830448,3235.400667,-18.35586,0.098804832,0.050702352,0.142266854,0
0.33165023,2754.866086,2683.38869,5517.749369,-19.290216,0.128617904,0.024084987,0.147863758,0
0.3719313,2052.724023,2126.742003,3871.728516,-12.261424,0.091144822,0.037514303,0.141466447,0
0.33483872,2172.888825,1637.403002,3816.965366,-17.471575,0.133162391,0.03950264,0.140602553,0
0.3226141,2344.049915,2112.367059,4553.800649,-16.081867,0.124953873,0.0407359,0.149085779,0
0.29391736,1736.534497,1730.934221,3348.891602,-17.835135,0.082929764,0.044472206,0.148410241,0
0.32873487,1314.809424,1490.850761,2363.935411,-10.742201,0.07301251,0.02555476,0.178061137,0
0.2881265,1724.768171,1861.540456,3031.889759,-18.387188,0.084884842,0.028349448,0.141782477,0
0.3148467,1716.851622,1656.354253,3497.835069,-14.8080845,0.082120292,0.046174243,0.156932677,0
0.3006568,1693.538052,1658.979789,3263.298835,-14.597451,0.082378116,0.046854917,0.154747079,0
0.28381565,1369.331364,1389.916283,2587.964201,-11.7237215,0.072133818,0.04923258,0.168371378,0
